"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3972","Valid User Login and add to cart a product","firefox","Fri Nov 14 10:30:43 BDT 2025","passed","Fri Nov 14 10:30:47 BDT 2025","Valid User Login Tests and add to cart a product","specs\userLogin.spec.js","",""
"","4593","Valid User Login and add to cart a product","webkit","Fri Nov 14 10:30:43 BDT 2025","passed","Fri Nov 14 10:30:48 BDT 2025","Valid User Login Tests and add to cart a product","specs\userLogin.spec.js","",""
"","2772","Valid User Login and add to cart a product","chromium","Fri Nov 14 10:30:43 BDT 2025","passed","Fri Nov 14 10:30:46 BDT 2025","Valid User Login Tests and add to cart a product","specs\userLogin.spec.js","",""
