"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 14 05:28:48 UTC 2025","Fri Nov 14 05:28:50 UTC 2025","2230","firefox","specs/userLogin.spec.js","Valid User Login Tests and add to cart a product","","","Valid User Login and add to cart a product",""
"passed","Fri Nov 14 05:28:45 UTC 2025","Fri Nov 14 05:28:47 UTC 2025","1904","chromium","specs/userLogin.spec.js","Valid User Login Tests and add to cart a product","","","Valid User Login and add to cart a product",""
"passed","Fri Nov 14 05:28:52 UTC 2025","Fri Nov 14 05:29:00 UTC 2025","7570","webkit","specs/userLogin.spec.js","Valid User Login Tests and add to cart a product","","","Valid User Login and add to cart a product",""
